Cultivar,H_Max,H_Max_unscaled,H_over_R,H_over_V,H_over_V_40,H_over_V_60,Leaf_angle_0,Leaf_angle_1,Leaf_angle_2,Leaf_angle_3,Leaf_angle_count,Main_leaf_angle,R_Max,R_Max_unscaled,R_over_V,R_over_V_40,R_over_V_60,Ring Diameter,Scale,V_100,V_100_unscaled,V_40,V_40_unscaled,V_60,V_60_over_V_40,V_60_unscaled,V_over_V_40,V_over_V_60,plane_projection_area,plane_projection_area_unitless
Wheat_Kukri_D1_2023-06-28-1900_fused_output_cluster_1,17.5513112,0.578490798,1.025042774,0.124296218,0.313972673,0.253438517,20.87846155,14.8317621,,,2,14.8317621,17.1225159,0.564357715,0.121259543,0.30630202,0.253438517,,30.33982781,141.2055128,0.005056061,55.90076057,0.002001605,69.25273802,1.238851445,0.002479691,2.526003427,2.038988159,,
Wheat_Kukri_D2_2023-06-28-1835_fused_output_cluster_2,19.17088106,0.629681882,1.067735215,0.123552861,0.483107801,0.346480989,20.03936769,21.62309685,,,2,21.62309685,17.95471461,0.589735988,0.115714888,0.452460305,0.346480989,,30.4453433,155.1633922,0.005498277,39.68240837,0.001406162,55.33025376,1.394327009,0.00196065,3.910130421,2.804313763,,
Wheat_Kukri_D6_2023-06-28-1741_fused_output_cluster_0,22.32611805,0.735480672,1.729154442,0.04366643,0.149349366,0.097357149,9.506194169,29.72929574,20.83449527,,3,20.83449527,12.91158124,0.425341227,0.025253054,0.086371328,0.097357149,,30.35581888,511.2879136,0.018278463,149.4892055,0.005344216,229.3218154,1.53403595,0.008198219,3.420232999,2.229565089,,
Wheat_Kukri_D0_2023-06-28-1713_fused_output_cluster_4,14.73095141,0.487209908,0.966141595,0.098061762,0.273597126,0.193811654,17.73911736,,,,1,17.73911736,15.24719719,0.504284165,0.101498333,0.28318533,0.193811654,,30.23532808,150.2211581,0.005434844,53.84176225,0.001947938,76.00653074,1.411664989,0.002749836,2.790049058,1.97642435,,
Wheat_Kukri_D0_2023-06-28-1713_fused_output_cluster_5,24.82482674,0.821053659,1.959764013,0.082633233,0.337110444,0.123114765,15.64503051,19.85753121,,,2,19.85753121,12.66725309,0.418955371,0.042164889,0.172015835,0.123114765,,30.23532808,300.421826,0.010868946,73.64004048,0.002664219,201.6397201,2.738180463,0.007295113,4.079598871,1.489894083,,
Wheat_Kukri_D0_2023-06-28-1713_fused_output_cluster_6,24.33442944,0.804834311,2.501773262,0.177621568,0.459335726,0.361959954,10.11408439,18.86334218,,,2,18.86334218,9.726872459,0.321705537,0.070998268,0.183604059,0.361959954,,30.23532808,137.0015463,0.004956572,52.97743693,0.001916668,67.22961799,1.269023605,0.002432297,2.586035758,2.037815331,,
Wheat_Kukri_D0_2023-06-28-1713_fused_output_cluster_7,25.29437959,0.836583599,3.770097635,0.171857611,0.81782609,0.289937943,28.48569247,17.20818817,,,2,17.20818817,6.709210753,0.221899717,0.045584393,0.21692438,0.289937943,,30.23532808,147.1821899,0.005324897,30.92880002,0.001118971,87.24066712,2.820693563,0.003156276,4.758742331,1.687082352,,
Wheat_Kukri_D0_2023-06-28-1713_fused_output_cluster_8,23.37225764,0.773011544,1.927319175,0.141427324,0.413614431,0.293189003,20.55351203,14.40551376,,,2,14.40551376,12.12682256,0.401081229,0.073380333,0.21460609,0.293189003,,30.23532808,165.2598453,0.005978927,56.50735531,0.002044377,79.71737493,1.410743336,0.002884091,2.924572287,2.073071843,,
Wheat_Kukri_D1_2023-06-28-1900_fused_output_cluster_2,19.48385638,0.642187441,1.106776505,0.04991602,0.15978398,0.113382499,26.24409098,20.73299483,,,2,20.73299483,17.60414709,0.580232268,0.045100361,0.144368785,0.113382499,,30.33982781,390.3327298,0.01397641,121.9387352,0.004366187,171.8418321,1.40924729,0.006153037,3.20105608,2.271465132,,
Wheat_Kukri_D1_2023-06-28-1900_fused_output_cluster_3,17.8369373,0.587905028,1.564337445,0.101082857,0.225228641,0.182515617,18.38719882,19.93101606,,,2,19.93101606,11.40223125,0.37581727,0.064617041,0.143977018,0.182515617,,30.33982781,176.458579,0.006318347,79.19480054,0.002835681,97.72828,1.234023943,0.003499298,2.228158639,1.805604059,,
Wheat_Kukri_D1_2023-06-28-1900_fused_output_cluster_4,22.90221548,0.754856475,2.026853915,0.206857695,0.486517611,0.389293776,18.06928284,17.62199243,,,2,17.62199243,11.2993913,0.372427667,0.102058512,0.240035855,0.389293776,,30.33982781,110.7148345,0.0039643,47.07376453,0.001685542,58.83016097,1.249744132,0.002106496,2.3519435,1.881940024,,
